0,1
说它精密，是因为工程团队需要确保偏差非常之小，每边只有几毫米。,Delicate because the tolerances the team were working to were tiny - just a few millimetres either way.
但是，我认为他的热情暗示了某些相反的东西。,"To me, his enthusiasm implied the opposite."
为督促厂家尽快完工，中国驻圣保罗总领馆组织专人赶赴厂家，深入做工作。,"To urge the manufacturers to finish the production ASAP, the Chinese Consulate General in Sao Paulo sent specially-assigned persons to the manufacturer for in-depth work."
"""结果是，我已担任总统办公厅主任四年八个月啦。""","Well, it turns out that I've been presidential chief of staff for four years and eight months."
本周，中国海关总署公布的统计数据显示，今年前7个月，中国进出口总值13.21万亿元人民币，比去年同期下降3％。,"This week, China's General Administration of Customs released statistics show that the first 7 months of this year, China's import and export value of 13.21 trillion yuan, down 3% over the same period last year."
文章称，与之形成对比的是，美国大使官邸从外观来看，完全可以在下一部改编自约翰勒卡雷冷战间谍小说的电影中作为安全屋。,"According to the article, in contrast, the appearance of the American ambassador's residence, from the appearance of view, can be used as safety house in the cold war spy novels of John le Carré."
对于莫斯科来说，此次访问也具有额外的政治价值。,But the visit also had additional political value for Moscow.
"也就是说,通过法律手段严厉打击环境违法行为,严惩企业的超标排污行为,从而保护环境,保障公众健康。","In other words, we need to crack down on environmental violations through legal means and severely punish the enterprises' over standard discharge behaviors, so as to protect the environment and public health."
最早在跳水池池水变绿后，比赛主办方在9日晚加班处理跳水池的问题，但在10日早晨发现水球池颜色也迅速发生变化。,"When the water of diving pool turned green, the hosting party worked overtime to deal with the diving pool problems in the evening of the 9th day of the month and found the rapid change of water polo pool in the morning of the 10th day of the month."
更糟糕的是，她还打量自己穿上后看起来如何，然后将内裤脱下又放回货架。,"To make it even worse, she sized up how she looked in them, peeled them off and put them back on the shelf."
近日，河北省慈孝基金将16000元慰问金送到井陉县小作、台头、贵泉等村6户失亲家庭手中。,"Recently, Hebei Cixiao Fund sent a 16,000-yuan relief sent to six families who lost their relatives in Xiaozuo, Taitou and Guiquan Village of Jinjing County."
在6比1战胜日本的比赛中独中三元的凯蒂·巴姆于周四为美国女子曲棍球队率先梅开二度，帮助美国队以3比0战胜印度队。,"One day after scoring three goals in a 6-1 victory over Japan, Katie Bam scored the first two goals for the United States women's field hockey team on Thursday as the Americans defeated India, 3-0."
也就是说，火星探测器要具备确定行驶路线、发现障碍危险的能力。,"In other words, the Mars probe should be capable of determining the driving route and equipped with the ability to find obstacles."
花建慧指出，省人大常委会听取和审议垂直管理部门专项工作报告并开展专题询问，在我省尚属首次，是加强和拓展人大监督工作的积极探索。,Hua Jianhui pointed out that this was the first time that the Standing Committee of the Provincial People's Congress listened to and deliberated on the special work report of vertical administration department and carry out special inquiries. It is the active exploration for enhancing and exploring the supervision work of the Provincial People's Congress.
在撤掉盘子后，她与科先生拿出了他们在家准备的一份甜品：这就是罗斯福总统在午餐中所吃的果脯布丁。,"After the plates were cleared at Eisenberg's, she and Mr. Coe pulled out a dessert they had prepared at home: the prune dessert that President Roosevelt ate for lunch."
另一位推特用户 Sarah Paradis 写道：“哇#拜伦·麦克唐纳。,"Another twitter user, Sarah Paradis, wrote: 'Wow #ByronMacDonald."
如果两家工厂关闭，则电力市场的需求量会大大减少。,If both of those plants go from the market that's a significant reduction in demand in the [electricity] market.
莫斯科对此举感到不解。,This is a move that has mystified Moscow.
这位现年45岁的意大利人是第六位在平地赛领域取得这一里程碑的职业赛马骑师。,The 45-year-old Italian is the sixth jockey to reach the landmark in Flat racing.
此前，科学家认为金星自转速度较慢是因为其大气层较厚。,Scientists have previously suggested that Venus' slow rotation rate is explained by its thick atmosphere.
韩某称，案发当天，他俩被朋友叫去一起喝酒，两人在吃饭时和饭后曾两次发生争执。,"Han said that on the current day of the crime, the two were asked to drink alcohol. And the two had two disputes during and after meal."
波特兰冶炼厂的未来因供电合同的取消而充满不确定性,Portland smelter's future in doubt with axing of power contract
两场比赛五粒进球堪称技惊四座，但27岁的巴姆却表示她不知道自己有如此出色的表现。,"Five goals in two games should be a memorable feat, but Bam, 27, said she was not sure if she had ever done the same thing."
8月10日，黄伊琳跳江救人的事情传开后，尹女士在收到不少亲友慰问、称赞的同时，也受到不少亲友“问责”。,"On August 10, after the spread of the event of Huang Yilin's jumping into the river for rescue. Ms. Yin received the condolences and compliments of a lot of friends and relatives as well as the ""concerns"" of many relatives and friends."
一封给《卫报》(Guardian) 的信中写道，关闭这间咖啡馆“将是这些儿童（很多儿童只有八岁）的一场大灾难。”,"A letter sent to the Guardian said its closure ""would be a catastrophe for these children, some of whom are as young as eight."""
据知情人士透露，近期，苏宁高层与苹果公司频频见面，目的就是为了准备充足的货源。,"According to informed sources, recently, Suning executives and Apple frequently meet, with the purpose to prepare adequate supply."
自己回莫斯科后，一定要用所学到的知识和技能，为中华文化的传播和弘扬作出自己的贡献。,"After returning back to Moscow, I will use the knowledge and skills learned in China to Russia and make my own contribution for the cultural transmission and promotion of the Chinese culture."
还有一些其它更突出的较小私人银行品牌，例如顾资银行、Adam & Co、 Drummond 与 Holt's Military Bank。,"There are other, smaller brands for private banking, which will get more prominence - Coutts, Adam & Co, Drummond, and Holt's Military Bank."
